FIPS,ST,County,ObesityPct
00056,WY,Wyoming,34.2
00078,VI,Virgin Islands,
00050,VT,Vermont,25.7
00054,WV,West Virginia,45.1
00051,VA,Virginia,16.9
00053,WA,Washington,39.5
00055,WI,Wisconsin,37.7
00055,WI,Wisconsin,36.4
00050,VT,Vermont,33.4
00053,WA,Washington,14.9
00054,WV,West Virginia,35.8
00054,WV,West Virginia,19.3
00054,WV,West Virginia,30.2
00051,VA,Virginia,50.2
00051,VA,Virginia,23.8
00053,WA,Washington,15.1
00050,VT,Vermont,
00056,WY,Wyoming,32.8
00056,WY,Wyoming,
00055,WI,Wisconsin,30.9
00078,VI,Virgin Islands,21.6
00054,WV,West Virginia,30.2
00053,WA,Washington,33.3
